semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Numerical Ability,Numerical Ability,0bbea1fb-25bc-402d-b0d4-72112198d5da,3.0
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Numerical Ability,Numerical Ability,0bbea1fb-25bc-402d-b0d4-72112198d5da,3.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Numerical Ability,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Communicative English Advanced,Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,2.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Introduction to Computing Systems,Compliance,8dd432a6-5c40-4c24-a6db-7e0dccbb6b90,2.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Introduction to logic,Compliance,7570806b-2dfa-4951-b114-0ac873e927e3,2.0
Semester 2,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Object oriented programming,Compliance,d8be8ef4-a527-4f20-82a9-15d0adc99930,2.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Numerical Ability,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Physics,Complaince,4e7a00c7-c332-4269-9641-05faea2995d0,2.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Front-End Development,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
