institute_name,university,semester,subject,course_id,batch,section,num_sections,students,scheduled_mcq_practices,mcq_attendance,mcq_attendance_pct,total_mcq_questions,mcq_attempts,mcq_expected_attempts,mcq_attempt_pct,mcq_correct,mcq_accuracy_pct,scheduled_coding_practices,coding_attendance,coding_attendance_pct,total_coding_problems,coding_attempts,coding_expected_attempts,coding_attempt_pct,coding_completions,coding_completion_pct
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Advanced,bfd0a2efeb934e4bbc1c9acac895d6a4,ADYPU Batch-1,S-003,4,85,3,51,60,45,1752,3825,45.8,1308,74.66,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Advanced,bfd0a2efeb934e4bbc1c9acac895d6a4,ADYPU Batch-1,S-004,4,83,2,52,62.65,30,1237,2490,49.68,993,80.27,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-001,4,83,5,75,90.36,105,6240,8715,71.6,5348,85.71,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-002,4,84,5,81,96.43,105,6930,8820,78.57,6011,86.74,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-003,4,85,8,81,95.29,160,9582,13600,70.46,8191,85.48,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-004,4,83,7,73,87.95,145,7967,12035,66.2,6888,86.46,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,DBMS Fundamentals,a3aa84c2ac324ed581a9f050566521e9,ADYPU Batch-1,S-001,4,83,6,76,91.57,120,7210,9960,72.39,6600,91.54,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,DBMS Fundamentals,a3aa84c2ac324ed581a9f050566521e9,ADYPU Batch-1,S-002,4,84,8,80,95.24,160,9854,13440,73.32,8993,91.26,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,DBMS Fundamentals,a3aa84c2ac324ed581a9f050566521e9,ADYPU Batch-1,S-003,4,85,9,83,97.65,180,11312,15300,73.93,10330,91.32,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,DBMS Fundamentals,a3aa84c2ac324ed581a9f050566521e9,ADYPU Batch-1,S-004,4,83,8,78,93.98,160,9373,13280,70.58,8481,90.48,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,English Course,d9df50be3148426fbd6295065ce633a8,ADYPU Batch-1,S-001,4,83,11,76,91.57,88,5592,7304,76.56,4621,82.64,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,English Course,d9df50be3148426fbd6295065ce633a8,ADYPU Batch-1,S-002,4,84,12,83,98.81,96,6852,8064,84.97,5726,83.57,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,English Course,d9df50be3148426fbd6295065ce633a8,ADYPU Batch-1,S-003,4,85,12,82,96.47,96,7028,8160,86.13,5620,79.97,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,English Course,d9df50be3148426fbd6295065ce633a8,ADYPU Batch-1,S-004,4,83,11,73,87.95,88,5673,7304,77.67,4794,84.51,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Introduction to Databases,25c1a72c216e47e19bc6b2f16c66e0ca,ADYPU Batch-1,S-001,4,83,48,78,93.98,962,49701,79846,62.25,44729,90,35,81,97.59,393,23798,32619,72.96,23195,97.47
